ID,CAS,Chemical,Y_Exp.,Y_Pred._Mod.3,Y_Pred._MCI,Y_Pred._BCFWIN,VIM_D_deg,MATS2m,GATS2e,H6p,nHAcc
152,118-79-6,"2,4,6-Tribromophenol",2.71,2.9,2.89,2.08,3.3,1.02,1.51,0,1
153,87-86-5,Pentachlorophenol,2.74,3.14,3.26,2.84,3.56,1.02,2.19,0,1
154,104-43-8,p-Dodecyl phenol,3.78,2.76,2.93,2.06,4.22,0.94,1.25,0.33,1
155,106-47-8,4-Chloroaniline,0.23,1.8,1.23,0.71,2.98,0.97,1.21,0,1
156,108-42-9,3-Chloroaniline,0.34,1.81,1.24,0.75,2.98,0.97,1.21,0,1
157,62-53-3,Aniline,0.41,1.04,0.7,0.5,2.8,0.95,1.26,0,1
158,95-51-2,2-Chloroaniline,0.57,1.81,1.22,0.76,2.98,0.97,1.21,0,1
159,122-39-4,Diphenylamine,1.48,2.14,2.34,2,3.68,0.94,1.97,0.07,1
160,95-76-1,"3,4-Dichloroaniline",1.48,2.34,1.75,1.37,3.15,0.99,1.3,0,1
161,554-00-7,"2,4-Dichloroaniline",1.98,2.34,1.75,1.44,3.15,0.99,1.3,0,1
162,135-88-6,N-phenyl-2-naphtylamine,2.17,2.88,3.36,2.67,4.06,0.95,1.88,0.06,1
163,634-67-3,"2,3,4-Trichloroaniline",2.31,2.73,2.21,1.86,3.3,1,1.45,0,1
164,636-30-6,"2,4,5-Trichloroaniline",2.61,2.73,2.24,1.96,3.3,1,1.45,0,1
165,634-83-3,"2,3,4,5-Tetrachloroaniline",2.69,3.02,2.66,2.59,3.44,1.01,1.64,0,1
166,634-91-3,"3,4,5-Trichloroaniline",2.7,2.73,2.23,1.86,3.3,1,1.45,0,1
167,634-93-5,"2,4,6-Trichloroaniline",2.73,2.73,2.23,2.01,3.3,1,1.45,0,1
168,91-94-1,"3,3-Dichlorobenzidine",2.79,3.11,2.67,2,3.97,0.98,1.18,0,2
169,3481-20-7,"2,3,5,6-Tetrachloroaniline",3.03,3.02,2.66,2.46,3.44,1.01,1.64,0,1
170,527-20-8,Pentachloroaniline,3.17,3.25,3.04,3.01,3.56,1.02,1.9,0,1
171,141-78-6,Ethyl acetate,1.48,0.64,0.67,0.5,2.55,0.98,1.6,0.01,2
172,131-11-3,Dimethyl phtalate,1.76,1.57,1.89,0.53,3.78,0.98,1.85,0.03,4
173,84-66-2,Diethyl phtalate,2.07,1.9,1.96,1.16,3.97,0.97,1.61,0.03,4
174,117-81-7,Bis(2-ethylhexyl)phtalate,2.34,2.52,2.13,2.49,4.77,0.95,1.41,0.34,4
175,52918-63-5,Deltamethrin,2.66,2.76,2.24,2.42,4.73,0.99,1.2,0.54,4
176,51630-58-1,Fenvalerate,2.79,2.98,3.99,4.07,4.83,0.97,1.26,0.31,4
177,85-68-7,Benzyl butyl phtalate,2.89,2.51,3.04,2.94,4.49,0.96,1.54,0.12,4
178,52315-07-8,Cypermethrin,2.91,2.78,2.82,2.32,4.78,0.98,1.35,0.45,4
179,52645-53-1,Permethrin,3.39,3.05,3.61,2.66,4.67,0.97,1.4,0.41,3
180,7580-85-0,2-t-Butoxy ethanol,0.22,0.4,0.62,0.5,2.97,0.95,2.51,0.04,2
181,1634-04-4,t-Butyl methyl ether,0.18,0.05,1.12,0.5,2.55,0.95,3.14,0,1
182,17348-59-3,t-Butyl isopropyl ether,0.76,0.61,1.52,0.95,2.97,0.94,2.74,0.11,1
183,111-44-4,Bis(2-chloroethyl)ether,1.04,0.8,0.58,0.29,2.77,0.98,2.96,0.05,1
184,87-40-1,"2,4,6-Trichloroanisole",2.94,2.71,2.73,2.47,3.43,1.01,2.27,0,1
185,607-99-8,"2,4,6-Tribromoanisole",2.94,2.76,3.06,2.75,3.43,1.02,2.65,0,1
186,72-43-5,Methoxychlor,3.1,3.12,3.42,3.21,4.36,0.97,1.94,0.19,2
187,52322-80-2,"2,4,5-Trichlorodiphenyl ether",4.18,3.31,3.68,3.49,3.98,0.99,1.68,0.17,1
188,56348-72-2,"3,3,4,4-tetrachlorodiphenyl ether",4.51,3.7,3.98,4.2,4.06,1,1.71,0.11,1
189,534-52-1,"2-Methyl-4,6-Dinitrophenol",0.16,0.81,0.98,0.93,3.78,0.99,1,0.01,7
190,100-01-6,4-Nitroaniline,0.64,1.12,0.52,0.37,3.3,0.97,0.84,0,4
191,88-74-4,2-Nitroaniline,0.91,1.13,0.52,0.73,3.3,0.97,0.84,0,4
192,99-09-2,3-Nitroaniline,0.92,1.12,0.53,0.36,3.3,0.97,0.84,0.01,4
193,554-84-7,3-Nitrophenol,1.4,1.09,0.74,0.84,3.3,0.98,1.03,0,4
194,88-75-5,2-Nitrophenol,1.6,1.09,0.72,0.68,3.3,0.98,1.03,0,4
195,89-69-0,"2,4,5-Trichloronitrobenzene",1.84,2.41,2.51,1.98,3.56,1.01,1.46,0,3
196,121-73-3,3-Chloronitrobenzene,1.89,1.81,1.56,1.19,3.3,0.99,0.99,0,3
197,879-39-0,"2,3,4,5-Tetrachloronitrobenzene",1.89,2.58,2.91,2.33,3.68,1.02,1.79,0,3
198,100-00-5,4-Chloronitrobenzene,2,1.8,1.55,1.14,3.3,0.99,0.99,0,3
199,89-61-2,"2,5-Dichloronitrobenzene",2.05,2.15,2.05,1.68,3.44,1,1.2,0,3
200,611-06-3,"2,4-Dichloronitrobenzene",2.07,2.15,2.05,1.66,3.43,1,1.2,0,3
201,99-54-7,"3,4-Dichloronitrobenzene",2.07,2.15,2.05,1.7,3.43,1,1.2,0,3
202,88-73-3,2-Chloronitrobenzene,2.1,1.81,1.55,1.03,3.3,0.99,0.99,0,3
203,3209-22-1,"2,3-Dichloronitrobenzene",2.16,2.15,2.04,1.65,3.44,1,1.2,0,3
204,17700-09-3,"2,3,4-Trichloronitrobenzene",2.2,2.41,2.49,2.08,3.56,1.01,1.46,0,3
205,618-62-2,"3,5-Dichloronitrobenzene",2.23,2.15,2.07,1.68,3.44,1,1.2,0,3
206,82-68-8,Pentachloronitrobenzene,2.4,2.67,3.25,2.87,3.78,1.02,2.27,0,3
207,18708-70-8,"2,4,6-Trichloronitrobenzene",2.88,2.41,2.52,2.14,3.56,1.01,1.46,0,3
208,1836-77-7,Chloronitrofen,3.04,2.47,3.22,3.13,4.22,1,1.46,0.24,4
209,117-18-0,"2,3,5,6-Tetrachloronitrobenzene",3.2,2.58,2.91,2.67,3.68,1.02,1.79,0,3
210,13286-32-3,IBP,0.97,2.29,2.75,1.4,4.14,0.95,1.47,0.09,3
211,07.3.2597,Phenthoate,1.56,1.68,1.91,2.14,4.22,0.96,2.15,0.24,4
212,333-41-5,Diazinon,1.8,1.81,1.78,2.23,4.22,0.97,1.65,0.06,5
213,122-14-5,Fenitrothion,2,1.29,2.42,1.84,4.06,0.98,1.64,0.03,6
214,25311-71-1,Isofenphos,2.17,1.94,1.82,2.47,4.43,0.96,1.63,0.12,5
215,298-04-4,Disulfoton,2.37,1.88,1.23,2.4,3.77,0.95,2.34,0.04,2
216,55-38-9,Fenthion,2.68,1.96,2.57,2.45,3.97,0.97,2.09,0.12,3
217,2104-64-5,EPN,3.05,1.96,2.7,2.98,4.36,0.97,1.54,0.12,5
218,2921-88-2,Chloropyriphos,3.18,2.63,2.59,3.12,4.14,1,1.68,0.01,4
219,21609-90-5,Leptophos,3.78,3.33,3.78,4.16,4.3,0.99,2.02,0.15,2
220,10075-50-0,5-Bromoindole,1.15,2.34,1.85,1.61,3.31,0.98,1.64,0,1
221,63-25-2,Carbaryl,1.22,2.29,1.31,1.12,3.88,0.96,0.98,0.02,3
222,2212-67-1,Molinate,1.41,1.68,0.94,1.77,3.56,0.95,1.25,0.13,2
223,3766-81-2,BPMC,1.41,2.22,1.31,1.44,3.88,0.96,0.93,0.06,3
224,107-13-1,Acrylonitrile,1.68,0.59,0.62,0.5,1.97,1,0.93,0,1
225,28249-77-6,Thiobencarb,2.03,2.58,2.5,1.92,3.97,0.97,1.27,0.2,2
226,260-94-6,Acridine,2.61,2.6,2.51,1.92,3.79,0.95,1.8,0.03,1
227,58-89-9,Lindane,2.84,3.42,3.05,2.49,3.56,1,2.01,0,0
228,319-85-7,-HCH,2.86,3.42,3.05,2.49,3.56,1,2.01,0,0
229,319-84-6,-HCH,2.95,3.42,3.05,2.49,3.56,1,2.01,0,0
230,77-47-4,Hexachlorocyclopentadiene,3.09,3.38,3.53,3.18,3.43,1.02,2.44,0,0
231,92-83-1,Xanthene,3.62,2.56,2.49,2.56,3.79,0.95,1.93,0.02,1
232,60-57-1,Dieldrin,3.71,4.1,3.04,3.3,4.23,1.01,1.34,0.19,1
233,76-44-8,Heptachlor,4.14,4.61,3.95,4,4.06,1.01,1.4,0.03,0
234,1024-57-3,Heptachlor epoxide,4.16,4.25,3.1,3.14,4.15,1.02,1.64,0.04,1
235,789-02-6,o-p-DDT,4.57,4.45,4.68,4.53,4.22,0.99,0.87,0.17,0
236,57-74-9,Chlordane,4.58,4.69,3.83,4.09,4.14,1.02,1.44,0.09,0
237,72-55-9,"p,p' -DDE",4.71,4.52,4.93,4.31,4.14,0.99,0.93,0.08,0
238,50-29-3,"p,p' -DDT",4.84,4.56,4.67,4.62,4.22,0.99,0.87,0.11,0
